@RELATION type

@ATTRIBUTE refractive_index{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  na{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  mg{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  al{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  si{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  k{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  ca{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  ba{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  fe{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  type{<map object at 0x10a6e3e80>}

@DATA
5,7,15,6,10,1,5,0,0,1
5,6,15,6,11,1,5,0,0,1
5,5,15,7,11,1,5,0,0,1
5,7,15,6,10,1,5,0,0,1
5,5,15,6,11,1,6,0,5,1
5,6,15,5,12,1,5,0,0,1
5,6,15,5,11,1,5,0,8,1
5,5,15,6,12,1,5,0,2,1
5,5,15,6,11,1,6,0,0,1
3,7,15,5,10,1,5,0,0,1
6,9,15,6,7,1,6,0,0,1
5,6,15,6,11,2,6,0,0,1
9,10,17,1,6,0,7,0,0,1
9,10,17,1,6,0,7,0,0,1
5,6,15,5,11,2,6,0,0,1
5,5,15,5,12,1,5,0,0,1
5,7,15,6,10,1,5,0,0,1
9,9,17,2,6,0,8,0,0,1
5,6,15,5,11,1,6,0,11,1
6,8,15,6,7,1,6,0,0,1
6,7,15,5,10,1,6,0,6,1
13,9,16,2,6,0,8,0,3,1
9,7,16,3,7,0,8,0,0,1
6,8,14,5,8,1,6,0,0,1
10,8,16,1,6,0,8,0,6,1
7,7,14,6,9,1,6,0,4,1
6,8,12,5,10,1,6,0,0,1
6,7,12,6,10,1,6,0,0,1
5,7,12,6,11,1,6,0,3,1
5,5,12,6,13,1,6,0,9,1
0,6,15,5,11,1,5,0,12,1
6,6,15,6,11,1,5,0,0,1
5,8,16,5,11,1,4,0,0,1
5,7,16,5,10,1,5,0,4,1
6,8,16,5,10,0,6,0,0,1
7,9,15,6,6,0,6,4,0,1
9,8,17,3,7,0,7,0,4,1
9,10,16,3,5,0,7,0,0,1
9,8,16,3,7,0,7,0,2,1
8,8,15,5,7,0,7,0,0,1
9,6,16,3,8,0,8,0,6,1
9,6,16,3,8,0,8,0,6,1
9,7,15,3,8,0,8,0,6,1
10,7,15,3,7,0,8,0,1,1
4,12,16,9,7,0,3,0,4,2
6,8,17,6,7,1,5,0,12,2
4,7,15,7,11,2,4,0,0,2
4,7,15,7,10,1,4,0,0,2
4,6,15,7,11,2,4,0,0,2
4,6,15,7,11,2,4,0,0,2
4,8,16,7,9,2,4,0,0,2
4,6,15,7,10,1,4,0,0,2
4,9,15,5,10,1,4,0,5,2
4,6,15,10,10,2,4,0,0,2
4,6,15,11,10,2,4,0,0,2
4,7,15,7,11,1,4,0,0,2
4,8,15,5,10,2,4,0,0,2
4,7,15,7,10,2,4,0,3,2
2,10,13,11,8,3,3,0,0,2
4,7,15,7,10,1,5,0,0,2
3,7,15,7,12,1,4,0,0,2
4,8,15,7,10,2,4,0,3,2
4,6,15,7,10,1,4,0,0,2
4,5,15,9,12,2,4,0,3,2
6,6,16,5,8,2,6,0,8,2
4,6,15,7,11,1,5,0,0,2
4,7,15,8,12,0,5,0,7,2
4,7,14,7,11,1,5,0,0,2
4,5,14,7,12,2,5,0,0,2
6,7,15,7,8,1,5,0,0,2
6,6,16,4,9,2,6,0,5,2
5,4,14,5,13,1,6,0,9,2
5,5,12,8,12,2,5,0,0,2
6,6,13,7,11,1,6,0,0,2
4,6,12,7,12,1,6,0,8,2
5,4,12,8,10,2,7,0,0,2
6,5,12,3,14,1,7,0,7,2
14,9,14,2,2,0,11,0,0,2
11,9,12,5,4,0,9,0,0,2
11,2,0,9,8,2,14,0,13,2
17,0,0,11,0,1,14,19,10,2
19,4,0,4,1,0,19,0,9,2
9,11,0,4,10,0,11,0,3,2
6,8,0,1,16,0,10,0,0,2
13,1,0,2,12,0,17,0,0,2
14,0,0,2,11,0,17,0,0,2
14,5,0,2,7,0,16,0,0,2
6,8,17,6,9,1,5,0,5,2
6,7,17,5,9,1,5,0,0,2
6,8,17,6,9,1,5,0,0,2
6,7,17,6,8,1,5,0,3,2
5,8,16,9,8,2,4,0,0,2
4,7,16,7,9,2,4,0,11,2
4,8,15,7,9,2,4,0,0,2
6,7,16,6,9,1,5,0,0,2
4,6,15,8,11,2,4,0,8,2
5,7,15,7,10,1,4,0,0,2
5,8,15,8,9,1,4,0,0,2
9,7,16,5,10,1,5,0,0,2
6,6,16,7,9,1,5,0,4,2
4,6,16,6,10,1,5,0,0,2
8,9,10,7,7,1,8,0,6,2
8,8,9,8,8,1,7,1,6,2
7,9,6,8,6,1,9,0,7,2
9,9,4,6,8,1,10,0,0,2
13,8,0,6,5,0,14,0,3,2
6,8,17,5,9,1,5,0,0,2
6,8,17,7,7,1,5,0,5,2
6,7,17,5,10,1,4,0,0,2
5,7,17,6,8,1,5,0,10,2
6,6,16,4,11,1,5,0,4,2
5,6,16,7,11,1,4,0,0,2
4,6,15,7,12,2,4,0,0,2
4,6,15,8,11,2,4,0,0,2
5,7,15,8,9,2,4,0,0,2
6,7,16,4,10,1,5,0,6,2
4,6,15,7,11,2,5,0,9,2
5,6,15,9,10,2,5,0,0,2
4,6,14,5,11,1,6,0,9,2
6,6,16,5,9,1,6,0,13,2
5,8,16,5,10,0,5,0,0,3
4,7,15,6,10,1,5,0,0,3
4,7,15,6,10,1,5,0,3,3
4,4,15,6,10,1,5,0,0,3
4,7,15,9,9,1,5,0,6,3
8,10,17,3,6,0,7,0,0,3
5,8,16,2,11,0,6,0,0,3
4,8,15,5,10,1,5,0,0,3
5,6,15,6,9,1,6,0,0,3
4,6,15,6,11,1,5,0,0,3
4,8,15,6,10,1,5,0,0,3
8,9,16,1,7,0,7,0,0,3
5,8,15,7,7,1,6,0,0,3
5,8,14,8,7,1,6,0,3,3
6,7,14,7,8,1,6,0,0,3
7,8,15,2,10,0,6,0,9,3
9,10,16,3,5,0,6,0,14,3
3,9,11,19,0,5,0,13,0,5
7,6,8,9,10,1,8,0,0,5
9,2,8,7,10,1,11,0,0,5
9,0,7,7,12,1,11,0,0,5
7,5,0,8,14,1,11,0,0,5
4,6,0,9,14,3,8,0,0,5
7,7,0,9,11,1,10,0,0,5
11,8,0,8,8,1,12,0,0,5
1,6,0,17,2,19,2,0,0,5
1,6,0,17,3,19,2,0,0,5
8,7,0,6,8,1,13,0,0,5
8,6,7,11,8,2,7,1,19,5
8,6,1,7,12,0,10,0,10,5
6,9,10,7,9,0,7,0,0,6
7,9,10,5,10,0,8,0,0,6
6,11,9,8,9,0,7,0,0,6
6,10,9,8,10,0,7,0,0,6
1,11,7,7,16,0,4,0,0,6
6,12,3,9,9,0,8,0,0,6
7,10,0,11,10,0,10,0,0,6
7,11,0,1,13,0,10,0,0,6
0,19,0,0,19,0,2,0,0,6
0,8,14,9,10,5,0,7,0,7
6,10,14,12,5,4,0,10,0,7
10,8,14,5,9,1,6,0,0,7
9,12,9,11,1,2,8,0,0,7
10,15,8,6,2,0,5,10,0,7
4,9,7,9,11,0,6,4,0,7
4,12,0,13,12,0,6,4,3,7
4,10,0,15,13,0,6,2,3,7
5,12,0,10,11,0,5,10,3,7
4,11,0,10,12,0,5,9,2,7
3,10,0,14,12,0,6,3,1,7
3,9,0,14,12,0,7,5,0,7
5,11,0,12,12,0,6,4,0,7
3,10,0,14,11,0,6,4,0,7
4,12,0,13,11,0,6,3,0,7
3,13,0,12,13,0,5,3,0,7
4,3,0,5,19,8,6,0,0,7
3,12,0,13,13,0,5,3,0,7
4,12,0,10,11,0,5,10,0,7
4,12,0,12,12,0,6,4,0,7
5,12,0,9,11,0,5,9,0,7
4,12,0,9,11,0,6,8,0,7
6,11,0,9,10,4,1,18,0,7
4,10,0,15,10,0,7,3,0,7
4,10,0,16,9,0,6,6,0,7
5,12,0,10,11,0,5,10,0,7
8,10,0,10,12,0,5,10,0,7
4,10,0,10,13,0,5,9,0,7
5,10,0,11,12,0,5,10,0,7
