@RELATION type

@ATTRIBUTE refractive_index {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE na {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE mg {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE al {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE si {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE k {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ca {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ba {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE fe {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE type {1,2,3,4,5,6,7}

@DATA
5,5,18,6,10,1,6,0,0,1
4,5,14,7,12,1,6,0,8,2
5,3,16,5,13,1,6,0,9,2
8,7,10,8,8,1,7,1,6,2
4,12,18,9,7,0,3,0,4,2
6,9,18,5,8,0,6,0,0,1
4,12,0,12,12,0,6,4,0,7
5,8,18,9,7,2,4,0,0,2
6,10,16,12,4,4,0,11,0,7
4,6,15,5,11,1,6,0,9,2
4,6,17,7,11,2,4,0,0,2
4,5,17,7,11,2,5,0,9,2
5,4,13,6,13,1,6,0,9,1
5,5,18,6,11,1,5,0,0,1
5,5,18,7,11,1,4,0,0,2
0,8,16,9,10,5,0,8,0,7
5,5,17,7,10,1,5,0,7,1
4,7,17,7,9,2,4,0,3,2
6,12,3,9,9,0,8,0,0,6
5,6,17,8,10,1,5,0,2,1
9,9,19,3,5,0,7,0,0,1
4,5,17,7,12,2,4,0,0,2
4,7,18,7,9,2,4,0,0,2
4,9,0,15,12,0,6,2,3,7
6,8,0,1,16,0,10,0,0,2
4,5,18,8,11,2,4,0,10,1
6,7,19,6,9,1,5,0,5,2
6,5,17,6,11,1,5,0,0,1
5,5,18,5,11,1,6,0,0,1
5,5,17,6,12,1,5,0,6,1
7,9,6,8,6,1,9,0,7,2
7,8,17,6,6,0,6,4,0,1
14,5,0,2,7,0,16,0,0,2
10,8,18,1,6,0,8,0,6,1
6,7,19,5,10,1,4,0,0,2
9,6,18,3,8,0,8,0,6,1
6,6,16,5,10,1,6,0,6,1
4,6,18,7,11,2,4,0,0,2
3,12,0,12,13,0,5,4,0,7
9,9,18,3,5,0,6,0,14,3
5,7,17,8,9,2,4,0,0,2
3,6,17,7,12,1,4,0,0,2
10,7,16,5,9,1,6,0,0,7
11,1,0,9,8,2,14,0,13,2
7,11,18,0,7,0,6,0,0,1
5,7,18,5,11,1,4,0,0,1
4,7,17,5,10,1,5,0,0,3
9,6,18,3,8,0,8,0,6,1
6,5,18,5,9,1,6,0,13,2
3,9,0,14,12,0,6,4,1,7
6,9,11,8,10,0,7,0,0,6
5,6,14,6,11,1,6,0,3,1
4,6,18,6,10,1,5,0,0,2
8,8,11,7,7,1,8,0,6,2
4,6,17,7,10,1,4,0,0,2
9,10,0,4,10,0,11,0,3,2
3,7,17,5,10,1,5,0,0,1
5,5,14,8,12,2,5,0,0,2
5,4,18,6,12,1,5,0,0,1
4,6,17,9,9,1,5,0,6,3
13,8,0,6,4,0,14,0,3,2
14,0,0,2,11,0,17,0,0,2
1,10,8,7,16,0,4,0,0,6
9,10,19,1,6,0,7,0,0,1
5,5,17,6,9,1,6,0,0,3
5,7,18,5,11,1,5,0,0,1
4,8,8,9,11,0,6,5,0,7
4,7,17,7,9,2,4,0,0,2
7,8,17,2,9,0,6,1,9,3
10,7,17,3,7,0,8,0,1,1
5,5,17,6,11,1,6,0,5,1
4,9,17,5,10,1,4,0,5,2
1,6,0,17,2,19,2,0,0,5
4,5,17,7,11,1,5,0,0,2
8,6,1,7,12,0,10,0,10,5
6,5,13,3,14,1,7,0,7,2
4,11,0,10,11,0,5,11,0,7
6,9,17,6,6,1,6,0,0,1
9,6,18,3,7,0,8,0,0,1
4,6,17,7,11,2,4,0,0,2
4,10,0,10,13,0,5,10,0,7
4,6,16,7,11,1,5,0,0,2
5,6,17,7,10,1,4,0,0,2
6,6,19,5,9,1,5,0,0,2
4,9,0,16,9,0,6,7,0,7
11,8,14,5,4,0,9,0,0,2
6,6,18,5,8,2,6,0,8,2
9,0,8,7,12,1,11,0,0,5
3,9,13,19,0,5,0,15,0,5
6,8,16,5,7,1,6,0,0,1
3,12,0,13,13,0,5,3,0,7
9,10,19,3,5,0,6,0,0,1
4,12,0,13,11,0,6,3,0,7
5,7,17,5,10,1,5,0,0,1
9,7,18,3,7,0,7,0,2,1
4,12,0,13,12,0,6,4,3,7
4,2,0,5,19,8,6,0,0,7
4,7,17,7,11,1,4,0,0,2
6,9,12,7,8,0,7,0,0,6
6,6,19,6,8,1,5,0,3,2
9,1,9,7,10,1,11,0,0,5
5,7,18,5,11,1,4,0,0,1
6,6,14,7,10,1,6,0,0,2
6,6,18,7,9,1,5,0,4,2
4,6,17,8,12,0,5,0,7,2
4,12,0,9,11,0,6,9,0,7
8,7,0,6,8,1,13,0,0,5
4,6,17,7,10,2,4,0,3,2
6,7,14,5,10,1,6,0,0,1
9,6,17,3,8,0,8,0,6,1
4,6,17,8,11,2,4,0,8,2
5,5,17,5,11,1,5,0,0,1
5,4,17,6,12,1,5,0,2,1
9,8,19,2,6,0,8,0,0,1
4,5,17,7,11,2,4,0,9,1
4,10,0,15,10,0,7,3,0,7
6,10,0,9,10,4,1,19,0,7
4,7,17,7,10,1,5,0,0,2
7,5,0,8,13,1,11,0,0,5
3,8,0,14,12,0,7,5,0,7
4,5,17,10,10,2,4,0,0,2
9,7,19,3,6,0,7,0,4,1
6,8,19,6,7,1,5,0,12,2
5,5,17,5,11,1,5,0,8,1
5,12,0,10,11,0,5,11,0,7
7,7,0,9,11,1,10,0,0,5
6,8,19,7,6,1,5,0,5,2
1,6,0,17,2,19,2,0,0,5
4,7,18,7,9,2,4,0,11,2
8,10,19,3,5,0,7,0,0,3
4,11,0,10,12,0,5,10,2,7
4,5,0,9,14,3,8,0,0,5
5,5,17,5,12,1,5,0,0,1
13,9,18,2,6,0,8,0,3,1
6,7,18,6,9,1,5,0,0,2
9,8,5,6,8,1,10,0,0,2
3,10,0,14,11,0,6,4,0,7
4,4,17,9,12,2,4,0,3,2
4,5,17,11,10,2,4,0,0,2
6,6,14,6,10,1,6,0,0,1
9,6,18,5,10,1,5,0,0,2
5,5,17,5,12,1,5,0,0,1
6,6,18,4,10,1,5,0,6,2
5,6,18,6,11,1,5,0,4,1
7,8,12,5,10,0,8,0,0,6
5,7,18,5,10,1,5,0,4,1
0,19,0,0,19,0,2,0,0,6
4,7,17,7,10,1,4,0,0,2
4,3,17,6,10,1,5,0,0,3
7,9,17,6,7,1,5,0,0,1
19,4,0,4,0,0,19,0,9,2
6,7,17,6,7,1,6,0,0,1
5,5,17,5,11,1,6,0,11,1
5,6,17,6,9,1,5,0,0,1
6,7,19,6,9,1,5,0,0,2
5,6,18,4,12,1,5,0,0,1
6,10,11,8,9,0,7,0,0,6
8,9,18,1,6,0,7,0,0,3
5,6,17,6,10,1,5,0,0,1
5,6,17,9,10,2,5,0,0,2
10,14,9,6,1,0,5,11,0,7
5,6,17,5,11,2,5,0,0,1
5,5,17,6,11,1,6,0,0,1
5,6,19,6,8,1,5,0,10,2
4,5,17,8,11,2,4,0,0,2
14,8,15,2,2,0,11,0,0,2
4,7,17,6,10,1,5,0,0,3
