@RELATION type

@ATTRIBUTE refractive_index {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE na {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE mg {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE al {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE si {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE k {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ca {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ba {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE fe {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE type {1,2,3,4,5,6,7}

@DATA
5,10,15,8,9,1,4,0,0,2
4,7,12,7,12,1,6,0,8,2
5,10,16,5,11,1,4,0,0,1
4,15,0,10,12,0,5,11,0,7
5,7,15,5,11,2,6,0,0,1
9,11,17,2,7,0,8,0,0,1
4,9,15,6,10,1,5,0,0,3
6,9,16,4,11,1,5,0,6,2
4,8,15,7,11,2,4,0,3,2
8,10,19,5,7,0,6,0,0,1
9,16,9,11,1,2,8,0,0,7
9,8,16,3,8,0,8,0,6,1
4,7,15,6,10,1,6,0,0,3
6,8,13,7,11,1,6,0,0,2
5,9,17,6,9,1,5,0,10,2
5,9,12,6,11,1,6,0,3,1
4,8,15,6,11,1,5,0,0,3
4,10,15,6,10,1,5,0,0,3
4,10,15,7,9,2,4,0,0,2
6,10,17,6,10,1,5,0,5,2
2,13,13,11,9,3,3,0,0,2
9,9,16,5,10,1,5,0,0,2
10,10,0,8,8,1,12,0,0,5
5,9,15,6,10,1,5,0,0,1
4,8,15,7,12,2,4,0,0,2
14,6,0,2,8,0,16,0,0,2
9,13,16,3,5,0,7,0,0,1
3,17,0,12,13,0,5,4,0,7
4,6,12,8,12,2,5,0,0,2
5,6,15,6,12,1,6,0,5,1
11,1,0,9,8,2,14,0,13,2
6,11,0,1,17,0,10,0,0,2
4,9,15,7,12,1,4,0,0,2
6,12,15,6,8,1,5,0,0,1
8,12,16,1,7,0,7,0,0,3
10,11,16,1,7,0,8,0,6,1
3,16,16,9,7,0,3,0,4,2
5,8,15,6,11,1,5,0,0,1
5,7,15,5,11,1,5,0,8,1
5,9,15,5,11,1,5,0,0,1
4,6,15,9,12,2,4,0,3,2
5,13,0,11,13,0,5,11,0,7
3,14,0,14,12,0,6,4,0,7
5,7,16,6,11,1,5,0,0,1
6,7,8,9,10,1,8,0,0,5
14,0,0,2,12,0,17,0,0,2
8,7,7,11,8,2,7,1,19,5
5,8,15,8,10,1,5,0,2,1
4,14,0,15,11,0,7,3,0,7
6,12,9,8,10,0,7,0,0,6
5,8,16,6,11,1,5,0,4,1
11,11,12,5,4,0,9,0,0,2
8,11,15,5,7,0,7,0,0,1
6,12,10,7,9,0,7,0,0,6
1,14,7,7,17,0,4,0,0,6
6,10,17,6,7,1,5,0,12,2
5,9,16,5,12,1,4,0,0,1
4,7,15,8,12,2,4,0,0,2
4,3,0,5,19,8,6,0,0,7
6,9,17,6,9,1,5,0,3,2
5,7,16,7,11,1,4,0,0,2
5,8,16,4,12,1,5,0,4,2
5,15,0,10,11,0,5,11,3,7
4,7,15,11,10,2,4,0,0,2
9,8,15,3,8,0,8,0,6,1
4,16,0,10,11,0,5,11,0,7
10,19,8,6,2,0,5,11,0,7
19,5,0,4,1,0,19,0,9,2
5,7,15,6,12,1,5,0,6,1
7,9,0,9,11,1,10,0,0,5
6,7,16,5,10,1,6,0,13,2
