@RELATION type

@ATTRIBUTE refractive_index {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE na {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE mg {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE al {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE si {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE k {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ca {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ba {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE fe {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE type {1,2,3,4,5,6,7}

@DATA
7,11,0,1,13,0,10,0,0,6
6,6,15,7,11,1,5,0,0,1
4,12,0,14,12,0,6,4,0,7
4,7,15,8,11,1,4,0,0,2
5,4,12,9,10,2,7,0,0,2
5,12,0,12,11,0,5,10,4,7
11,8,0,9,8,1,12,0,0,5
4,8,15,8,9,2,4,0,0,2
4,6,0,11,14,3,8,0,0,5
7,5,0,9,14,1,11,0,0,5
5,8,15,8,7,1,6,0,0,3
5,6,15,6,12,1,5,0,0,1
5,6,15,6,12,1,5,0,0,1
13,9,16,3,6,0,8,0,5,1
14,9,14,2,2,0,11,0,0,2
4,7,15,9,10,1,4,0,0,2
5,6,15,10,10,1,5,0,3,1
4,6,16,9,11,2,4,0,14,1
9,7,16,3,7,0,8,0,0,1
9,8,16,4,7,0,7,0,3,1
6,11,0,11,10,4,1,18,0,7
6,6,16,6,9,1,6,0,18,2
9,11,0,5,10,0,11,0,4,2
4,6,15,9,11,2,4,0,0,2
5,6,16,7,11,1,5,0,5,1
6,7,17,6,9,1,5,0,0,2
5,6,16,7,10,1,6,0,0,1
4,7,15,7,10,1,5,0,5,3
6,8,15,7,7,1,6,0,0,1
6,8,0,1,16,0,10,0,0,2
0,6,15,6,11,1,5,0,16,1
4,5,14,8,12,2,5,0,0,2
5,8,15,10,9,1,4,0,0,2
4,11,0,12,12,0,5,9,3,7
5,5,12,7,13,1,6,0,12,1
4,12,16,10,7,0,3,0,6,2
7,10,0,13,10,0,10,0,0,6
4,6,12,8,12,1,6,0,11,2
6,5,12,3,14,1,7,0,10,2
6,8,17,7,9,1,5,0,0,2
5,7,17,7,8,1,5,0,15,2
5,6,15,7,9,1,6,0,0,3
5,12,0,12,11,0,5,10,0,7
4,7,15,8,10,1,5,0,0,2
8,6,1,8,12,0,10,0,15,5
11,9,12,6,4,0,9,0,0,2
6,8,17,6,9,1,5,0,0,2
9,12,9,12,1,2,8,0,0,7
0,8,14,11,10,5,0,7,0,7
9,10,17,1,6,0,7,0,0,1
5,6,15,6,11,2,6,0,0,1
3,10,0,17,11,0,6,4,0,7
3,13,0,14,13,0,5,3,0,7
6,10,9,9,10,0,7,0,0,6
13,8,0,7,5,0,14,0,5,2
4,7,14,8,11,1,5,0,0,2
4,8,15,9,11,1,4,0,0,1
4,12,0,11,11,0,6,8,0,7
5,6,15,7,11,2,6,0,0,1
6,12,3,10,9,0,8,0,0,6
5,7,16,5,12,1,5,0,0,1
4,6,15,11,10,2,4,0,0,2
3,9,0,16,12,0,7,5,0,7
5,5,15,7,11,1,6,0,7,1
6,7,15,6,10,1,6,0,8,1
5,9,16,7,10,1,4,0,0,1
4,7,15,9,12,0,5,0,10,2
3,7,15,6,10,1,5,0,0,1
8,8,15,6,7,0,7,0,0,1
6,10,14,14,5,4,0,10,0,7
4,10,0,18,13,0,6,2,4,7
5,6,15,10,10,2,5,0,0,2
5,6,15,7,11,1,5,0,0,1
5,11,0,14,12,0,6,4,0,7
5,6,15,6,11,2,5,0,0,1
6,9,16,6,8,0,6,0,0,1
5,6,15,7,12,1,5,0,9,1
4,6,15,9,11,2,4,0,11,2
9,7,16,6,10,1,5,0,0,2
4,6,15,8,10,1,4,0,0,2
4,6,14,6,11,1,6,0,12,2
9,0,7,9,12,1,11,0,0,5
8,9,10,8,7,1,8,0,9,2
8,10,17,3,6,0,7,0,0,3
4,6,15,9,11,2,4,0,0,2
6,7,14,9,8,1,6,0,0,3
6,8,17,7,7,1,5,0,17,2
4,8,15,6,10,2,4,0,0,2
5,7,16,6,11,1,4,0,0,1
7,8,15,3,10,0,6,0,12,3
4,8,15,8,10,2,4,0,5,2
14,5,0,2,7,0,16,0,0,2
5,8,14,9,7,1,6,0,4,3
5,7,15,6,10,1,5,0,0,1
7,7,0,10,11,1,10,0,0,5
6,7,17,8,8,1,5,0,5,2
7,9,6,9,6,1,9,0,9,2
5,6,15,8,10,1,5,0,10,1
5,5,15,7,12,1,5,0,3,1
4,4,15,7,10,1,5,0,0,3
5,5,12,10,12,2,5,0,0,2
5,6,16,7,11,1,5,0,0,1
6,7,16,7,9,1,5,0,0,2
9,8,17,4,7,0,7,0,5,1
6,11,9,9,9,0,7,0,0,6
4,3,0,6,19,8,6,0,0,7
5,5,15,7,12,1,5,0,0,1
8,7,0,8,8,1,13,0,0,5
3,12,0,15,13,0,5,3,0,7
6,7,15,8,8,1,5,0,0,2
8,9,16,2,7,0,7,0,0,3
6,7,17,6,10,1,4,0,0,2
4,6,15,9,12,2,4,0,0,2
10,8,16,1,6,0,8,0,8,1
4,10,0,17,10,0,7,3,0,7
4,9,15,6,10,1,4,0,7,2
4,7,15,8,11,2,4,0,0,2
