@RELATION type

@ATTRIBUTE refractive_index {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE na {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE mg {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE al {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE si {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE k {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ca {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ba {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE fe {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE type {1,2,3,4,5,6,7}

@DATA
4,10,15,6,10,1,5,0,0,3
6,10,17,5,9,1,5,0,0,2
0,8,15,5,11,1,5,0,12,1
4,7,12,8,12,2,5,0,0,2
19,6,0,4,1,0,19,0,9,2
9,11,4,6,8,1,10,0,0,2
4,9,15,7,12,2,4,0,0,2
6,9,17,5,9,1,5,0,0,2
5,11,17,7,7,1,5,0,5,2
4,8,15,7,11,2,5,0,9,2
3,16,0,13,14,0,5,3,0,7
4,9,15,7,12,2,4,0,0,2
5,10,15,5,11,1,5,0,0,1
4,16,0,10,12,0,5,10,0,7
9,13,16,3,5,0,6,0,14,3
4,8,14,5,11,1,6,0,9,2
14,12,14,2,2,0,11,0,0,2
6,7,12,3,14,1,7,0,7,2
6,10,15,6,7,1,6,0,0,1
5,8,15,5,11,1,5,0,8,1
5,8,15,5,12,1,5,0,0,1
10,10,0,8,8,1,12,0,0,5
8,14,0,10,13,0,5,10,0,7
10,19,8,6,2,0,5,10,0,7
7,12,10,5,10,0,8,0,0,6
7,9,14,6,9,1,6,0,4,1
5,15,0,10,11,0,5,10,3,7
9,9,16,3,8,0,8,0,6,1
6,9,17,6,9,1,5,0,3,2
6,10,17,5,11,1,4,0,0,2
9,10,17,3,7,0,7,0,4,1
6,8,16,5,9,2,6,0,8,2
4,11,15,7,11,1,4,0,0,1
10,10,14,5,9,1,6,0,0,7
4,8,15,7,13,2,4,0,0,2
5,8,16,6,11,1,5,0,0,1
5,7,15,7,12,1,5,0,0,1
5,6,12,6,14,1,6,0,9,1
1,14,7,7,17,0,4,0,0,6
9,13,17,1,7,0,7,0,0,1
4,7,15,9,12,2,4,0,3,2
5,10,16,5,11,1,5,0,4,1
3,14,0,14,12,0,6,4,0,7
0,11,14,9,11,5,0,7,0,7
4,10,15,7,10,2,4,0,3,2
5,10,16,5,11,1,4,0,0,1
5,8,16,6,11,1,6,0,0,1
9,13,17,1,7,0,7,0,0,1
5,7,15,5,11,1,6,0,11,1
5,9,15,6,10,1,5,0,0,1
5,8,15,6,12,1,5,0,6,1
6,12,16,5,8,0,6,0,0,1
6,8,13,7,11,1,6,0,0,2
5,9,15,6,11,1,5,0,0,1
3,12,0,14,12,0,7,5,0,7
4,10,16,7,10,2,4,0,11,2
9,14,17,3,5,0,6,0,0,1
5,8,15,7,10,1,5,0,7,1
13,11,0,6,5,0,14,0,3,2
5,8,16,4,12,1,5,0,4,2
4,9,15,6,11,1,5,0,0,3
9,9,15,3,8,0,8,0,6,1
9,9,16,5,10,1,5,0,0,2
5,8,16,6,11,1,5,0,4,1
8,14,17,3,6,0,7,0,0,3
5,9,12,6,11,1,6,0,3,1
3,16,16,9,7,0,3,0,4,2
6,8,15,6,11,1,5,0,0,1
4,8,15,10,11,2,4,0,0,2
6,9,15,5,10,1,6,0,6,1
5,13,0,11,13,0,5,10,0,7
8,8,7,11,8,2,7,1,19,5
4,10,15,6,10,1,5,0,0,3
9,9,16,3,8,0,8,0,0,1
5,8,15,6,11,1,5,0,0,1
11,2,0,9,8,2,14,0,13,2
5,10,16,5,12,1,5,0,0,1
5,9,16,6,10,1,5,0,0,1
5,5,14,5,13,1,6,0,9,2
4,5,15,6,11,1,5,0,0,3
6,10,15,7,9,1,5,0,0,2
3,17,0,12,13,0,5,3,0,7
4,8,15,6,10,1,6,0,0,3
14,7,0,2,8,0,16,0,0,2
6,9,12,6,11,1,6,0,0,1
4,16,0,10,12,0,5,10,0,7
13,12,16,2,6,0,8,0,3,1
4,8,15,11,10,2,4,0,0,2
6,13,15,6,8,1,5,0,0,1
8,11,19,5,7,0,6,0,0,1
10,10,15,3,8,0,8,0,1,1
5,10,16,5,12,1,4,0,0,1
14,1,0,2,12,0,17,0,0,2
4,14,0,15,11,0,7,3,0,7
4,9,14,7,12,1,5,0,0,2
5,15,0,12,12,0,6,4,0,7
13,1,0,2,12,0,17,0,0,2
7,11,15,2,10,0,6,0,9,3
4,9,15,7,11,1,4,0,0,2
5,7,15,6,13,1,5,0,2,1
5,9,16,4,12,1,5,0,0,1
3,7,15,7,12,2,4,0,9,1
4,9,15,7,11,2,4,0,3,2
5,8,15,5,12,1,5,0,0,1
5,7,15,6,12,1,5,0,0,1
4,16,0,13,12,0,6,4,3,7
5,6,12,8,11,2,7,0,0,2
3,9,15,7,12,1,4,0,0,2
4,8,15,8,11,2,4,0,8,2
4,8,16,6,10,1,5,0,0,2
6,11,0,1,17,0,10,0,0,2
9,14,0,4,10,0,11,0,3,2
6,9,16,4,9,2,6,0,5,2
6,9,16,6,9,1,5,0,0,2
6,12,10,7,9,0,7,0,0,6
3,10,15,5,10,1,5,0,0,1
6,8,16,5,10,1,6,0,13,2
8,11,9,8,8,1,7,1,6,2
4,16,0,13,12,0,6,3,0,7
5,16,0,9,11,0,5,9,0,7
9,3,8,7,11,1,11,0,0,5
9,16,9,11,1,2,8,0,0,7
9,9,16,3,9,0,8,0,6,1
5,8,15,5,11,2,5,0,0,1
4,15,0,10,12,0,5,9,2,7
6,10,14,7,8,1,6,0,0,3
4,13,0,16,10,0,6,6,0,7
5,11,16,5,11,0,5,0,0,3
5,7,15,6,12,1,6,0,5,1
2,13,13,11,9,3,3,0,0,2
6,14,14,12,5,4,0,10,0,7
8,11,15,5,8,0,7,0,0,1
9,11,17,2,7,0,8,0,0,1
4,9,15,7,12,2,4,0,0,2
5,8,15,6,12,1,5,0,0,1
8,12,10,7,8,1,8,0,6,2
5,8,16,7,11,1,4,0,0,2
4,8,15,7,11,1,4,0,0,2
4,9,15,9,9,1,5,0,6,3
5,10,15,8,10,1,4,0,0,2
5,7,15,5,12,1,5,0,0,1
4,9,15,7,12,1,4,0,0,2
4,8,16,8,11,2,4,0,10,1
5,9,15,8,10,1,5,0,2,1
